ID	Giocatore	Squadra	Ruolo	Ruolo Mod. Av.	Fuori lista	Quotazione	Presenze	Media	Media recente	Media pagella	Media recente pagella	Somma bonus malus	Somma bonus malus ultime 5
5739	ASTALDI	parma	P	P		1							
353	AUDERO	cremonese	P	P		15	16	5,31	5,1	6,44	6,5	-18	-7
483	BOER		P	P	*	1							
421	BORBEI		P	P	*	1							
532	BREZZO		P	P	*	1							
355	BUTEZ	como	P	P		21	19	5,71	6,3	6,26	6,2	-13,5	-1,5
69	CAPRILE	cagliari	P	P		15	20	4,85	4,5	6,38	6,3	-30,5	-7
1	CARNESECCHI	atalanta	P	P		21	20	5,58	6,3	6,38	6,5	-17	-2
4370	CAVLINA	como	P	P		1							
283	CHICHIZOLA		P	P	*	1							
4305	CHIESA	verona	P	P		1							
104	CHRISTENSEN	fiorentina	P	P		1							
70	CIOCCI	cagliari	P	P		1							
530	CONTINI	napoli	P	P		1							
284	CORVI	parma	P	P		8	8	5,19	5,1	6,25	6,2	-8,5	-4,5
206	DAFFARA		P	P	*	1							
105	DE GEA	fiorentina	P	P		17	20	4,93	5,4	6,28	6,4	-28	-5
458	DEVIS VASQUEZ	roma	P	P		1							
165	DI GENNARO	inter	P	P		1							
207	DI GREGORIO	juventus	P	P		21	18	5,5	6	6,31	6,4	-14,5	-2
533	DONNARUMMA		P	P	*	1							
422	FALCONE	lecce	P	P		17	19	5,24	5,3	6,39	6,4	-23,5	-6
5771	FERRANTE	napoli	P	P		1							
423	FRUCHTL	lecce	P	P		1							
528	FULIGNATI		P	P	*	9							
417	FURLANETTO	lazio	P	P		1							
208	GAROFANI		P	P	*	1							
315	GOLLINI	roma	P	P		1							
567	GUADAGNO		P	P	*	1							
5801	GUAITA	parma	P	P		1							
1676	ISRAEL	torino	P	P		7	9	4,11		6,17	-1	-18,5	-10,5
139	LEALI	genoa	P	P		15	19	4,76	5,13	6,24	6,25	-28	-4,5
3965	LEZZERINI	fiorentina	P	P		1							
568	LIVIERI		P	P	*	1							
569	LORIA		P	P	*	1							
5818	LYSIONOK	genoa	P	P		1							
348	MAGRO		P	P	*	1							
459	MAIGNAN	milan	P	P		23	18	5,89	5,5	6,44	6,4	-11	-2,5
418	MANDAS	lazio	P	P		1							
285	MARCONE		P	P	*	1							
106	MARTINELLI		P	P	*	1							
166	MARTINEZ JO.	inter	P	P		2	2	5,75		6,25	-1	-1	-1
4263	MENKE	como	P	P		1							
245	MERET	napoli	P	P		8	4	5,13		6,13	-1	-4	-4
1091	MILINKOVIC SAVIC	napoli	P	P		20	15	5,83	5,1	6,3	6,1	-7	-4
604	MOLDOVAN		P	P	*	1							
349	MONTIPO	verona	P	P		13	19	4,55	3,9	6,03	5,9	-31	-12
286	MORETTA		P	P	*	1							
4144	MURIC	sassuolo	P	P		14	19	4,97	4,8	6,39	6,5	-27,5	-8
763	NAVA	cremonese	P	P		1							
1082	NICOLAS	pisa	P	P		1							
4013	NUNZIANTE	udinese	P	P		1							
653	OKOYE	udinese	P	P		12	12	4,79	4,33	5,96	5,67	-15	-5
654	PADELLI	udinese	P	P		2	2	5,25	5,25	6,25	6,25	-2	-2
1083	PALEARI	torino	P	P		9	11	4,95	5	6,27	6,3	-16,5	-8,5
534	PASSADOR		P	P	*	1							
4012	PENEV	lecce	P	P		1							
350	PERILLI	verona	P	P		1							
209	PERIN	juventus	P	P		2	2	5,25		6,25	-1	-3	-3
4261	PESSINA	bologna	P	P		1	1	6,5		6,5	-1	0	0
655	PIANA		P	P	*	1							
210	PINSOGLIO	juventus	P	P		1							
535	POPA	torino	P	P		1							
419	PROVEDEL	lazio	P	P		22	20	5,65	5,3	6,45	6,3	-16	-5
753	RADUNOVIC		P	P	*	1							
167	RAIMONDI		P	P	*	1							
32	RAVAGLIA	bologna	P	P		8	9	4,94	4,7	6,33	6,4	-16,5	-9,5
420	RENZETTI		P	P	*	1							
1081	RINALDI	parma	P	P		1							
2	ROSSI	atalanta	P	P		1							
605	RUSSO		P	P	*	1							
424	SAMOOJA	lecce	P	P		1							
487	SARO		P	P	*	1							
606	SATALINO	sassuolo	P	P		1							
656	SAVA	udinese	P	P		4	7	4		6,07	5	-14,5	-12
1092	SCUFFET	pisa	P	P		4	3	4,33	4	6	6	-6	-6
1089	SEMPER	pisa	P	P		12	17	4,82	4,25	6,29	6,25	-25	-9
5855	SHERRI	cagliari	P	P		1							
140	SIEGRIST	genoa	P	P		1							
4143	SILVESTRI	cremonese	P	P		2	4	4,5		6,25	-1	-7	-7
33	SKORUPSKI	bologna	P	P		11	9	5,17		6,11	-1	-8,5	-5
1058	SOMMARIVA	genoa	P	P		1	2	4	4	6	6	-4	-4
168	SOMMER	inter	P	P		20	17	5,32	5,3	6,26	6,1	-16	-3
3	SPORTIELLO	atalanta	P	P		1							
287	SUZUKI	parma	P	P		12	11	5,27		6,32	-1	-11,5	-4
4262	SVETOZAROV ILIEV		P	P	*	1							
318	SVILAR	roma	P	P		23	20	5,8	5,4	6,4	6,2	-12	-2
1072	TERRACCIANO PI.	milan	P	P		2	2	6,25		6,25	-1	0	0
749	THOMAS GILLIER		P	P	*	1							
489	TOMMASI		P	P	*	1							
351	TONIOLO	verona	P	P		1							
5802	TORNQVIST	como	P	P		1							
460	TORRIANI	milan	P	P		1							
607	TURATI	sassuolo	P	P		2	1	4		6	-1	-2	-2
531	TURI		P	P	*	1							
357	VIGORITO	como	P	P		1							
570	VUKOVIC		P	P	*	1							
608	ZACCHI	sassuolo	P	P		1							
1469	ZELEZNY	roma	P	P		1							
657	ABANKWAH		D	D	*	3							
319	ABDUL HAMID		D	E	*	8							
169	ACERBI	inter	D	D		10	10	6,1		6,1	-1	0	0,5
425	ADDO		D	D	*	1							
4	AHANOR	atalanta	D	E		8	11	5,82	6,33	5,82	6,33	0	0
4463	AKANJI	inter	D	D		12	17	6,06	6,1	6,15	6,2	-1,5	0
4487	ALBIOL	pisa	D	D		6	6	5,75	6	5,83	6	-0,5	-0,5
1090	AMORAN		D	D	*	1							
320	ANGELINO	roma	D	E		1	5	5,6		5,7	-1	-0,5	-0,5
571	ANGORI	pisa	D	E		8	17	5,74	5,8	5,71	5,9	0,5	-0,5
727	ANTOLINI		D	D	*	1							
4110	ATHEKAME	milan	D	E		7	6	6,25	6	5,92	6	2	2
81	AZZI		D	E	*	4							
5	BAKKER	atalanta	D	E		1							
288	BALOGH		D	D	*	5							
141	BANI		D	D	*	7							
490	BARBIERI	cremonese	D	E		8	14	5,82	5,5	5,89	5,75	-1	-1,5
1073	BARTESAGHI	milan	D	E		13	15	6,5	7,6	6,13	6,4	5,5	0
426	BASCHIROTTO	cremonese	D	D		12	20	6,23	5,5	5,95	5,5	5,5	0
170	BASTONI	inter	D	D		16	17	6,56	6	6,29	6,25	4,5	-1
4224	BELGHALI	verona	D	E		10	15	6,2	5,5	5,97	6	3,5	5,5
4332	BELLA-KOTCHAP	verona	D	D		5	13	5,58	5,5	5,69	5,7	-1,5	-1
13	BELLANOVA	atalanta	D	E		6	12	5,83		5,75	-1	1	1
4281	BERNASCONI	atalanta	D	E		8	9	6,06	6,3	6	6,1	0,5	1
658	BERTOLA	udinese	D	D		8	15	5,8	5,5	5,8	5,5	0	0
572	BERUATTO		D	E	*	3							
34	BEUKEMA	napoli	D	D		10	9	6,28	5,5	6,06	5,5	2	-1
728	BIANAY BALCOT		D	D	*	1							
491	BIANCHETTI	cremonese	D	D		8	17	5,82	5,5	5,76	5,5	1	0,5
536	BIRAGHI	torino	D	E		2	8	5,56		5,56	-1	0	0
171	BISSECK	inter	D	D		12	9	6,44	6,9	6,22	6,4	2	0
6	BONFANTI GI.	pisa	D	D		4	9	5,5	5,5	5,56	5,67	-0,5	-0,5
750	BONIFAZI	bologna	D	D		1							
5977	BOZHINOV	pisa	D	D		6							
3896	BRADARIC	verona	D	E		7	15	5,67	5,5	5,73	5,67	-1	-0,5
211	BREMER	juventus	D	D		12	10	6,7	6,9	6,2	6,3	5	3
4316	BRITSCHGI	parma	D	E		9	14	5,89	5,75	5,82	5,75	0,5	-0,5
246	BUONGIORNO	napoli	D	D		11	15	5,97	5,75	5,93	5,75	0,5	0
217	CABAL	juventus	D	E		9	6	6,92	6	6	6	5,5	5,5
352	CALABRESE		D	D	*	2							
573	CALABRESI	pisa	D	E		6	14	5,61	5,5	5,75	5,75	-2	-1
35	CALABRIA		D	E	*	8							
212	CAMBIASO	juventus	D	E		11	18	6,06	6,3	5,86	6,1	3,5	0
3985	CANDE	sassuolo	D	D		4	9	5,56	5,25	5,67	5,5	-1	-1
574	CANESTRELLI	pisa	D	D		9	20	5,8	5,7	5,85	5,8	-1	-0,5
575	CARACCIOLO	pisa	D	D		6	20	5,65	5,5	5,78	5,7	-2,5	-1
172	CARLOS AUGUSTO	inter	D	E		10	14	6,07	5,75	5,86	5,88	2,5	-1
36	CASALE	bologna	D	D		3	5	5,6	6	5,6	6	0	0
360	CASSANDRO		D	E	*	3							
492	CECCHERINI	cremonese	D	D		1	4	5,25	4	5,5	5	-1	-1
322	CELIK	roma	D	D		11	17	6,06	6	5,91	6	2,5	0
4319	CHAM	verona	D	E		1	3	5,67		5,67	-1	0	0
609	CINQUEGRANO		D	D	*	1							
289	CIRCATI	parma	D	D		10	14	6,14	5,63	6	5,88	1,5	-1,5
543	COCO	torino	D	D		11	17	6,18	5,67	6	5,83	3	-0,5
107	COMUZZO	fiorentina	D	D		9	14	5,86	6,8	5,64	6,2	3	3
576	COPPOLA	pisa	D	D		1	1	4,5	4,5	5	5	-1	-1
37	CORAZZA		D	E	*	6							
213	COSTA		D	E	*	10							
290	COULIBALY WO.	sassuolo	D	E		6	7	5,86		5,86	-1	0	0
760	CURTO		D	D	*	2							
214	DANILO		D	D	*	1							
173	DARMIAN	inter	D	E		1	1	5,5		5,5	-1	0	0
38	DE SILVESTRI	bologna	D	E		3	5	5,5	5,5	5,7	6	-1	-1
174	DE VRIJ	inter	D	D		2	2	6,5		6,5	-1	0	0
142	DE WINTER	milan	D	D		9	10	5,95	6,13	5,95	6,13	-0,5	-0,5
291	DEL PRATO	parma	D	E		9	18	5,94	5,63	5,89	5,75	1	-0,5
537	DELLAVALLE		D	D	*	2							
1461	DENOON	pisa	D	D		1	2	5,25		5,5	-1	-0,5	-0,5
292	DI CHIARA		D	E	*	2							
248	DI LORENZO	napoli	D	E		15	19	6,29	6,9	6,11	6,3	3,5	3
76	DI PARDO	cagliari	D	E		1	1	5,5		5,5	-1	0	0
4458	DIEGO CARLOS	como	D	D		8	13	5,81	6	5,92	6	-1,5	-0,5
175	DIMARCO	inter	D	E		25	18	7,33	8,38	6,36	6,63	17,5	7
1069	DJALO		D	D	*	4							
7	DJIMSITI	atalanta	D	D		9	18	5,81	5,88	5,83	5,88	-0,5	0
108	DODO	fiorentina	D	E		9	20	5,75	6,3	5,78	6,2	-0,5	-0,5
610	DOIG	sassuolo	D	E		7	18	5,64	5,5	5,75	5,5	-2	0
362	DOSSENA	como	D	E		1							
176	DUMFRIES	inter	D	E		7	11	6		5,77	-1	2,5	-0,5
687	EBOSSE	verona	D	D		1	1	4,5		4,5	-1	0	0
659	EHIZIBUE	udinese	D	E		6	11	5,45	5,25	5,55	5,5	-1	-0,5
462	EMERSON ROYAL		D	E	*	7							
39	ERLIC		D	D	*	5							
389	ERRORE		D	D	*	1							
427	ESPOSITO		D	D	*	3							
580	ESTEVES TO.	pisa	D	E		1	1	5,5	5,5	5,5	5,5	0	0
1860	ESTUPINAN	milan	D	E		4	8	5,56	5,25	5,69	5,5	-1	-1,5
388	FARES		D	E	*	2							
4459	FAYE	cremonese	D	D		3	5	5,6		5,7	-1	-0,5	-0,5
363	FELLIPE JACK		D	D	*	6							
764	FLORIANI	cremonese	D	E		4	12	5,5	5,25	5,58	5,25	-1	0
493	FOLINO	cremonese	D	D		7	4	6,88	6	6,13	6	3	3
177	FONTANAROSA		D	D	*	1							
109	FORTINI	fiorentina	D	E		7	12	5,79	5,83	5,79	5,83	0	0
688	FRESE	verona	D	E		8	17	5,74	6,5	5,82	5,88	-1,5	2
463	GABBIA	milan	D	D		11	18	6	5,75	6,08	5,88	-1,5	-0,5
428	GALLO	lecce	D	E		7	19	5,71	5,6	5,71	5,6	0	0
429	GASPAR	lecce	D	D		6	18	5,58	5,25	5,81	5,75	-4	-2
215	GATTI	juventus	D	D		6	10	6,15		6	-1	1,5	2,5
689	GHILARDI	roma	D	D		4	4	6	6,17	6	6,17	0	0
660	GIANETTI		D	D	*	7							
390	GIGOT	lazio	D	D		1							
216	GIL PUCHE		D	D	*	1							
1458	GILA	lazio	D	D		10	19	5,89	5,8	6	5,9	-2	-0,5
8	GODFREY	atalanta	D	D		6							
3949	GOGLICHIDZE	udinese	D	D		2	6	5,67		5,83	-1	-1	-1
364	GOLDANIGA	como	D	D		1							
1068	GONZALEZ FA.		D	D	*	6							
110	GOSENS	fiorentina	D	E		9	13	6,15	6,75	5,77	6,13	5	2,5
430	GUILBERT	lecce	D	E		1							
4222	GUTIERREZ	napoli	D	E		7	7	5,79	5,83	5,79	5,83	0	0
293	HAINAUT		D	E	*	6							
538	HAVERI		D	D	*	2							
4109	HEGGEM	bologna	D	D		9	16	5,88	5	5,94	5,25	-1	0
324	HERMOSO	roma	D	D		9	15	6	5,83	6	6,17	0	-1
9	HIEN	atalanta	D	D		9	18	5,86	6,6	5,89	6	-0,5	0
40	HOLM	bologna	D	E		12	8	6,88	5,5	6,13	5,5	5,5	-0,5
391	HYSAJ	lazio	D	E		2	3	5,83	6	5,83	6	0	0
757	IDRISSI	cagliari	D	E		9	14	6	5,63	5,86	5,75	2	-0,5
3986	IDZES	sassuolo	D	D		8	19	5,82	5,4	5,84	5,5	-0,5	0
41	ILIC		D	D	*	3							
539	ISMAJLI	torino	D	D		10	13	5,96	6,3	5,96	6,1	-0,5	0,5
431	JEAN	lecce	D	D		1							
461	JIMENEZ		D	E	*	8	1	5		5,5	-1	-0,5	-0,5
1460	JOAO MARIO	juventus	D	E		4	7	5,86	6	5,93	6	-0,5	0
249	JUAN JESUS	napoli	D	D		8	12	5,83	6	6,04	6,33	-2,5	-1,5
1074	KABASELE	udinese	D	D		12	14	6,29	6,5	5,96	6	4,5	2
218	KALULU	juventus	D	D		15	20	6,28	7,2	6,05	6,4	4,5	4
